model-1587409902,1587409923.54,0.65,0.2287,0.61,0.2239,0
model-1587409902,1587409923.596,0.69,0.2139,0.64,0.2252,0
model-1587409902,1587409923.653,0.64,0.2282,0.62,0.2375,0
model-1587409902,1587409923.712,0.61,0.2318,0.61,0.2443,0
model-1587409902,1587409923.743,0.6,0.2461,0.62,0.2429,0
model-1587409902,1587409923.801,0.6,0.244,0.61,0.2356,1
model-1587409902,1587409923.857,0.59,0.2171,0.58,0.2308,1
model-1587409902,1587409923.915,0.67,0.2158,0.56,0.2311,1
model-1587409902,1587409923.972,0.52,0.2374,0.58,0.2311,1
model-1587409902,1587409924.029,0.63,0.2276,0.56,0.2305,1
model-1587409902,1587409924.085,0.58,0.2326,0.56,0.2296,1
model-1587409902,1587409924.141,0.56,0.2491,0.6,0.228,1
model-1587409902,1587409924.197,0.75,0.2004,0.6,0.227,1
model-1587409902,1587409924.254,0.65,0.2358,0.6,0.2262,1
model-1587409902,1587409924.31,0.66,0.2192,0.67,0.2252,1
model-1587409902,1587409924.367,0.64,0.2062,0.61,0.228,1
